Content type,Object ID,User ID,First View,Last View,Views,Clicks,Liked,Completed,Times Completed,Last Completed,Max Duration,Total Duration,Max Duration Percent,Last Duration
Video,12270,168192,2019-12-24 22:23:26.637742+00:00,2019-12-24 22:23:26.641770+00:00,1,0,,TRUE,1,20191224,300,300,100,300
Video,13588,2486,2019-12-24 22:23:17.714290+00:00,2019-12-24 22:23:20.592458+00:00,1,1,,TRUE,1,20191224,18,18,100,18
Game,64,162355,2019-12-24 22:23:04.488079+00:00,2019-12-24 22:23:04.492595+00:00,1,1,,,,,,,,
Video,614,66132,2019-12-23 00:15:02.916337+00:00,2019-12-24 22:22:58.069715+00:00,4,0,,TRUE,2,20191224,117,234,100,117
Game,28,172983,2019-12-24 22:22:34.154193+00:00,2019-12-24 22:22:39.922324+00:00,2,2,,,,,,,,
Game,130,162355,2019-12-24 22:22:27.771390+00:00,2019-12-24 22:22:36.138806+00:00,4,4,,,,,17.65300012,17.65300012,,17.65300012
Video,13637,2486,2019-12-24 22:22:32.522176+00:00,2019-12-24 22:22:35.304246+00:00,1,1,,,,,1,1,7,1
Video,13562,2486,2019-11-04 05:25:37.011938+00:00,2019-12-24 22:22:30.675507+00:00,4,0,,TRUE,1,20191104,17,17,100,0
Show,493,2486,2019-10-05 04:17:41.692848+00:00,2019-12-24 22:22:25.421313+00:00,7,3,,,,,,,,
Video,13584,2486,2019-12-24 22:22:10.737754+00:00,2019-12-24 22:22:13.566589+00:00,1,1,,,,,2,2,13,2
Video,13474,2486,2019-12-24 22:21:52.896316+00:00,2019-12-24 22:21:52.899722+00:00,1,0,,,,,1,1,11,1
Video,13473,2486,2019-12-24 22:21:32.130371+00:00,2019-12-24 22:21:34.938237+00:00,1,1,,TRUE,1,20191224,17,17,100,17
Video,13464,2486,2019-11-08 18:52:52.072847+00:00,2019-12-24 22:21:22.730206+00:00,6,0,,TRUE,2,20191213,17,50.22957198,100,1
Show,508,2486,2019-10-10 23:41:00.855062+00:00,2019-12-24 22:21:18.892478+00:00,10,3,,,,,,,,
Video,376,2486,2019-11-12 22:25:55.175464+00:00,2019-12-24 22:21:11.330336+00:00,4,0,,,,,34,55,15,4
